Date,Price
03/07/90,259.12
03/08/90,246.17
03/09/90,246.17
03/12/90,246.17
03/13/90,246.17
03/14/90,246.17
03/15/90,246.17
03/16/90,246.17
03/19/90,246.17
03/20/90,246.17
03/21/90,246.17
03/22/90,259.12
03/23/90,259.12
03/26/90,259.12
03/27/90,259.12
03/28/90,259.12
03/29/90,259.12
03/30/90,246.17
04/02/90,246.17
04/03/90,246.17
04/04/90,246.17
04/05/90,246.17
04/06/90,246.17
04/09/90,246.17
04/10/90,246.17
04/11/90,246.17
04/12/90,246.17
04/13/90,246.17
04/16/90,246.17
04/17/90,246.17
04/18/90,246.17
04/19/90,246.17
04/20/90,246.17
04/23/90,246.17
04/24/90,246.17
04/25/90,246.17
04/26/90,246.17
04/27/90,246.17
04/30/90,246.17
05/01/90,246.17
05/02/90,246.17
05/03/90,246.17
05/04/90,194.34
05/07/90,194.34
05/08/90,194.34
05/09/90,194.34
05/10/90,194.34
05/11/90,194.34
05/14/90,194.34
05/15/90,194.34
05/16/90,194.34
05/17/90,194.34
05/18/90,194.34
05/21/90,194.34
05/22/90,194.34
05/23/90,194.34
05/24/90,194.34
05/25/90,194.34
05/28/90,194.34
05/29/90,194.34
05/30/90,194.34
05/31/90,194.34
06/01/90,194.34
06/04/90,194.34
06/05/90,194.34
06/06/90,194.34
06/07/90,194.34
06/08/90,194.34
06/11/90,194.34
06/12/90,194.34
06/13/90,194.34
06/14/90,194.34
06/15/90,194.34
06/18/90,194.34
06/19/90,194.34
06/20/90,194.34
06/21/90,194.34
06/22/90,194.34
06/25/90,194.34
06/26/90,194.34
06/27/90,194.34
06/28/90,194.34
06/29/90,194.34
07/02/90,194.34
07/03/90,194.34
07/04/90,194.34
07/05/90,194.34
07/06/90,194.34
07/09/90,194.34
07/10/90,194.34
07/11/90,194.34
07/12/90,194.34
07/13/90,194.34
07/16/90,194.34
07/17/90,194.34
07/18/90,194.34
07/19/90,194.34
07/20/90,194.34
07/23/90,194.34
07/24/90,194.34
07/25/90,194.34
07/26/90,194.34
07/27/90,194.34
07/30/90,194.34
07/31/90,194.34
08/01/90,194.34
08/02/90,194.34
08/03/90,194.34
08/06/90,194.34
08/07/90,194.34
08/08/90,194.34
08/09/90,194.34
08/10/90,194.34
08/13/90,194.34
08/14/90,194.34
08/15/90,194.34
08/16/90,194.34
08/17/90,194.34
08/20/90,194.34
08/21/90,194.34
08/22/90,194.34
08/23/90,194.34
08/24/90,194.34
08/27/90,194.34
08/28/90,194.34
08/29/90,194.34
08/30/90,194.34
08/31/90,194.34
09/03/90,194.34
09/04/90,194.34
