Date,Price
10/26/99,3.89
10/27/99,4.05
10/28/99,4.38
10/29/99,4.54
11/03/99,4.65
11/04/99,4.54
11/05/99,4.32
11/08/99,4.32
11/09/99,4.38
11/10/99,4.54
11/11/99,4.76
11/12/99,5.88
11/15/99,6.02
11/16/99,6.29
11/17/99,6.02
11/18/99,5.88
11/19/99,5.88
11/22/99,6.02
11/23/99,6.02
11/24/99,6.02
11/25/99,6.16
11/26/99,6.29
11/29/99,6.43
12/01/99,7.11
12/02/99,6.57
12/03/99,6.57
12/06/99,6.7
12/07/99,6.7
12/08/99,6.7
12/09/99,6.7
12/10/99,6.7
12/13/99,6.57
12/14/99,6.7
12/15/99,6.7
12/16/99,6.7
12/17/99,6.7
12/20/99,6.7
12/21/99,6.57
12/22/99,6.57
12/23/99,6.57
12/24/99,6.84
12/27/99,6.98
12/28/99,7.11
12/29/99,7.11
01/03/00,7.11
01/04/00,7.25
01/05/00,7.25
01/06/00,7.52
01/07/00,7.93
01/10/00,7.8
01/11/00,7.66
01/12/00,7.52
01/13/00,7.11
01/14/00,7.11
01/17/00,6.7
01/18/00,6.7
01/19/00,6.57
01/20/00,6.57
01/21/00,6.57
01/24/00,6.7
01/25/00,6.57
01/26/00,6.57
01/27/00,6.57
01/28/00,6.84
01/31/00,6.84
02/01/00,6.84
02/02/00,6.84
02/03/00,6.84
02/04/00,7.11
02/07/00,6.98
02/08/00,7.11
02/09/00,6.98
02/10/00,6.84
02/11/00,6.7
02/14/00,6.84
02/15/00,6.43
02/16/00,6.57
02/17/00,6.7
02/18/00,6.7
02/21/00,5.88
02/22/00,6.02
02/23/00,6.02
02/24/00,6.02
02/28/00,5.47
02/29/00,6.16
03/01/00,6.29
03/02/00,5.42
03/03/00,6.7
03/06/00,6.57
03/07/00,6.43
03/08/00,6.43
03/09/00,6.43
03/10/00,6.43
03/13/00,6.43
03/14/00,6.43
03/15/00,6.43
03/16/00,6.43
03/17/00,6.57
03/20/00,6.7
03/21/00,6.57
03/22/00,6.57
03/23/00,6.57
03/24/00,6.57
03/27/00,6.7
03/28/00,6.57
03/29/00,6.57
03/30/00,6.57
03/31/00,6.57
04/03/00,6.57
04/04/00,6.57
04/05/00,6.7
04/06/00,6.57
04/07/00,6.57
04/10/00,6.57
04/11/00,6.43
04/12/00,6.43
04/13/00,6.43
04/14/00,6.43
04/17/00,6.43
04/18/00,6.43
04/19/00,6.43
04/24/00,6.43
04/25/00,6.43
04/26/00,6.43
04/27/00,6.43
04/28/00,6.43
05/02/00,6.43
05/03/00,6.43
05/04/00,6.43
05/05/00,6.43
05/08/00,6.43
05/09/00,6.43
05/10/00,6.43
05/11/00,6.43
05/12/00,6.43
05/15/00,6.43
05/16/00,6.43
05/17/00,6.43
05/18/00,6.29
05/19/00,6.29
05/22/00,6.29
05/23/00,6.29
05/24/00,6.29
05/25/00,6.16
05/26/00,6.16
05/29/00,6.29
05/30/00,6.29
05/31/00,6.43
06/01/00,6.29
06/02/00,6.57
06/05/00,6.57
06/06/00,6.43
06/07/00,6.29
06/08/00,6.29
06/09/00,6.29
06/13/00,6.29
06/14/00,6.29
06/15/00,6.43
06/16/00,6.43
06/19/00,6.29
06/20/00,6.43
06/21/00,6.29
06/22/00,6.29
06/23/00,6.43
06/26/00,6.57
06/27/00,6.43
06/28/00,6.43
06/29/00,6.43
06/30/00,6.57
07/03/00,6.43
07/04/00,6.43
07/05/00,6.43
07/06/00,6.43
07/07/00,6.43
07/10/00,6.43
07/11/00,6.43
07/12/00,6.43
07/13/00,6.43
07/14/00,6.43
07/17/00,6.29
07/18/00,6.29
07/19/00,6.16
07/20/00,6.02
07/21/00,6.16
07/24/00,6.16
07/25/00,6.16
07/26/00,6.29
07/27/00,6.16
07/28/00,6.16
07/31/00,6.16
08/01/00,6.16
08/02/00,6.16
