Date,Price
01/25/91,1.87
01/28/91,2
01/29/91,2.03
01/30/91,2.11
01/31/91,2.11
02/01/91,2.03
02/04/91,2.03
02/05/91,2.03
02/06/91,2.03
02/07/91,2.28
02/08/91,2.22
02/11/91,2.33
02/12/91,2.41
02/13/91,2.3
02/14/91,2.25
02/15/91,2.33
02/18/91,2.39
02/19/91,2.41
02/20/91,2.39
02/21/91,2.41
02/22/91,2.41
02/25/91,2.55
02/26/91,2.55
02/27/91,2.5
02/28/91,2.55
03/01/91,2.5
03/04/91,2.41
03/05/91,2.41
03/06/91,2.5
03/07/91,2.52
03/08/91,2.74
03/11/91,2.72
03/12/91,2.83
03/13/91,2.83
03/14/91,2.77
03/15/91,2.8
03/18/91,2.8
03/19/91,2.8
03/20/91,2.72
03/21/91,2.69
03/22/91,2.8
03/25/91,2.88
03/26/91,3.32
03/27/91,3.37
03/28/91,3.37
03/29/91,3.37
04/01/91,3.4
04/02/91,3.29
04/03/91,3.13
04/04/91,3.24
04/05/91,3.18
04/08/91,3.16
04/09/91,3.16
04/10/91,2.99
04/11/91,2.96
04/12/91,2.99
04/15/91,2.99
04/16/91,2.94
04/17/91,2.96
04/18/91,3.05
04/19/91,3.07
04/22/91,2.99
04/23/91,3.02
04/24/91,3.13
04/25/91,3.1
04/26/91,3.13
04/29/91,3.1
04/30/91,3.07
05/01/91,3.07
05/02/91,3.1
05/03/91,3.07
05/06/91,3.05
05/07/91,3.13
05/08/91,3.13
05/09/91,3.16
05/10/91,3.16
05/13/91,3.13
05/14/91,3.13
05/15/91,3.16
05/16/91,3.1
05/17/91,3.1
05/20/91,3.16
05/21/91,3.16
05/22/91,3.26
05/23/91,3.24
05/24/91,3.24
05/27/91,3.21
05/28/91,3.21
05/29/91,3.21
05/30/91,3.21
05/31/91,3.21
06/03/91,3.1
06/04/91,3.05
06/05/91,3.05
06/06/91,3.02
06/07/91,3.02
06/10/91,3.02
06/11/91,3.02
06/12/91,3.02
06/13/91,3.02
06/14/91,2.99
06/17/91,2.99
06/18/91,2.99
06/19/91,2.99
06/20/91,2.99
06/21/91,2.99
06/24/91,2.99
06/25/91,2.99
06/26/91,2.99
06/27/91,2.99
06/28/91,2.99
07/01/91,2.99
07/02/91,2.99
07/03/91,2.99
07/04/91,2.61
07/05/91,2.06
07/08/91,2.06
07/09/91,2.06
07/10/91,2.06
07/11/91,2.06
07/12/91,2.06
07/15/91,2.06
07/16/91,2.06
07/17/91,2.06
07/18/91,2.06
07/19/91,2.06
07/22/91,2.06
07/23/91,2.06
07/24/91,2.06
07/25/91,2.06
07/26/91,2.06
07/29/91,2.06
07/30/91,2.06
07/31/91,2.06
08/01/91,2.06
08/02/91,2.06
08/05/91,2.06
08/06/91,2.06
08/07/91,2.06
08/08/91,2.06
08/09/91,2.06
08/12/91,2.06
08/13/91,2.06
08/14/91,2.06
08/15/91,2.06
08/16/91,2.06
08/19/91,2.06
08/20/91,2.06
08/21/91,2.06
08/22/91,2.06
08/23/91,2.06
08/26/91,2.06
08/27/91,2.06
08/28/91,2.06
08/29/91,2.06
08/30/91,2.06
09/02/91,2.06
09/03/91,2.06
09/04/91,2.06
09/05/91,2.06
09/06/91,2.06
09/09/91,2.06
09/10/91,2.06
09/11/91,2.06
09/12/91,2.06
09/13/91,2.06
09/16/91,2.06
09/17/91,2.06
09/18/91,2.06
09/19/91,2.06
09/20/91,2.06
09/23/91,2.06
09/24/91,2.06
09/25/91,2.06
09/26/91,2.06
09/27/91,2.06
09/30/91,2.06
10/01/91,2.06
10/02/91,2.06
10/03/91,2.06
10/04/91,2.06
10/07/91,2.06
10/08/91,2.06
10/09/91,2.06
10/10/91,2.06
10/11/91,2.06
10/14/91,2.06
10/15/91,2.06
10/16/91,2.06
10/17/91,2.06
10/18/91,2.06
10/21/91,2.06
10/22/91,2.06
10/23/91,2.06
10/24/91,2.06
10/25/91,2.06
10/28/91,2.06
10/29/91,2.06
10/30/91,2.06
10/31/91,2.06
11/01/91,2.06
11/04/91,2.74
11/05/91,2.74
11/06/91,2.54
11/07/91,2.54
11/08/91,2.67
11/11/91,2.74
11/12/91,2.71
11/13/91,2.74
11/14/91,2.74
11/15/91,3.16
11/18/91,3.02
11/19/91,3.02
11/20/91,2.95
11/21/91,2.91
11/22/91,2.95
11/25/91,2.88
11/26/91,2.81
11/27/91,2.78
11/28/91,2.78
11/29/91,2.74
12/02/91,2.74
12/03/91,2.78
12/04/91,2.81
12/05/91,2.85
12/06/91,2.78
12/09/91,2.78
12/10/91,2.81
12/11/91,2.81
12/12/91,2.81
12/13/91,2.78
12/16/91,2.78
12/17/91,2.88
12/18/91,2.91
12/19/91,2.91
12/20/91,2.95
12/23/91,2.88
12/24/91,2.95
12/25/91,2.95
12/26/91,2.95
12/27/91,2.95
12/30/91,2.95
12/31/91,2.95
01/01/92,2.95
01/02/92,2.98
01/03/92,3.09
01/06/92,3.19
01/07/92,3.19
01/08/92,3.4
01/09/92,3.33
01/10/92,3.36
01/13/92,3.26
01/14/92,3.33
01/15/92,3.4
01/16/92,3.5
01/17/92,3.7
01/20/92,3.7
01/21/92,3.7
01/22/92,3.64
01/23/92,3.57
01/24/92,3.64
01/27/92,3.57
01/28/92,3.57
01/29/92,3.57
01/30/92,3.43
01/31/92,3.5
02/03/92,3.5
02/04/92,3.5
02/05/92,3.57
02/06/92,3.5
02/07/92,3.57
02/10/92,3.43
02/11/92,3.43
02/12/92,3.5
02/13/92,3.43
02/14/92,3.43
02/17/92,3.36
02/18/92,3.29
02/19/92,3.16
02/20/92,3.12
02/21/92,3.16
02/24/92,3.29
02/25/92,3.33
02/26/92,3.26
02/27/92,3.26
02/28/92,3.22
03/02/92,3.16
03/03/92,3.09
03/04/92,3.09
03/05/92,3.16
03/06/92,3.09
03/09/92,3.12
03/10/92,3.16
03/11/92,3.19
03/12/92,3.16
03/13/92,3.12
03/16/92,3.12
03/17/92,3.02
03/18/92,3.05
03/19/92,3.12
03/20/92,3.16
03/23/92,3.12
03/24/92,3.12
03/25/92,3.09
03/26/92,3.09
03/27/92,3.12
03/30/92,3.19
03/31/92,3.16
04/01/92,3.19
04/02/92,3.19
04/03/92,3.22
04/06/92,3.36
04/07/92,3.36
04/08/92,3.33
04/09/92,3.33
04/10/92,3.29
04/13/92,3.29
04/14/92,3.29
04/15/92,3.29
04/16/92,3.29
04/17/92,3.29
04/20/92,3.29
04/21/92,3.29
04/22/92,3.29
04/23/92,3.29
04/24/92,3.29
04/27/92,3.29
04/28/92,3.29
04/29/92,3.29
04/30/92,3.29
05/01/92,3.29
05/04/92,3.29
05/05/92,3.29
05/06/92,3.29
05/07/92,3.29
05/08/92,3.29
05/11/92,3.29
05/12/92,3.29
05/13/92,3.29
05/14/92,3.29
05/15/92,3.29
05/18/92,3.29
05/19/92,3.29
05/20/92,3.29
05/21/92,3.29
05/22/92,3.29
05/25/92,3.29
05/26/92,3.29
05/27/92,3.29
05/28/92,3.29
05/29/92,3.29
06/01/92,3.98
06/02/92,3.91
06/03/92,4.12
06/04/92,4.39
06/05/92,4.46
06/08/92,4.39
06/09/92,4.32
06/10/92,4.39
06/11/92,4.53
06/12/92,4.53
06/15/92,4.8
06/16/92,4.8
06/17/92,4.53
06/18/92,4.39
06/19/92,4.39
06/22/92,4.32
06/23/92,4.18
06/24/92,4.32
06/25/92,4.39
06/26/92,4.53
06/29/92,4.46
06/30/92,4.46
07/01/92,4.32
07/02/92,4.32
07/03/92,4.32
07/06/92,4.25
07/07/92,4.25
07/08/92,4.18
07/09/92,3.98
07/10/92,4.25
07/13/92,4.18
07/14/92,4.12
07/15/92,3.95
07/16/92,3.95
07/17/92,3.95
07/20/92,3.95
07/21/92,3.91
07/22/92,3.99
07/23/92,4.12
07/24/92,4.2
07/27/92,4.2
07/28/92,4.2
07/29/92,4.2
07/30/92,4.2
07/31/92,4.28
08/03/92,4.2
08/04/92,4.2
08/05/92,4.2
08/06/92,4.2
08/07/92,4.2
08/10/92,4.12
08/11/92,4.07
08/12/92,4.12
08/13/92,4.28
08/14/92,4.28
08/17/92,4.36
08/18/92,4.36
08/19/92,4.36
08/20/92,4.36
08/21/92,4.44
08/24/92,4.36
08/25/92,4.2
08/26/92,4.2
08/27/92,4.2
08/28/92,4.12
08/31/92,4.07
09/01/92,4.07
09/02/92,4.07
09/03/92,4.07
09/04/92,4.12
09/07/92,4.2
09/08/92,4.28
09/09/92,4.2
09/10/92,4.12
09/11/92,4.2
09/14/92,4.2
09/15/92,4.28
09/16/92,4.2
09/17/92,4.2
09/18/92,4.2
09/21/92,4.07
09/22/92,4.12
09/23/92,4.07
09/24/92,4.03
09/25/92,3.99
09/28/92,4.07
09/29/92,4.07
09/30/92,4.12
10/01/92,4.12
10/02/92,4.12
10/05/92,4.12
10/06/92,4.07
10/07/92,4.07
10/08/92,4.12
10/09/92,4.07
10/12/92,4.03
10/13/92,4.03
10/14/92,4.03
10/15/92,3.99
10/16/92,3.91
10/19/92,3.87
10/20/92,3.79
10/21/92,3.74
10/22/92,3.7
10/23/92,3.66
10/26/92,3.66
10/27/92,3.66
10/28/92,3.79
10/29/92,3.87
10/30/92,3.95
11/02/92,3.95
11/03/92,3.91
11/04/92,3.95
11/05/92,3.95
11/06/92,3.91
11/09/92,3.83
11/10/92,3.87
11/11/92,3.87
11/12/92,3.87
11/13/92,3.87
11/16/92,3.83
11/17/92,3.83
11/18/92,3.79
11/19/92,3.83
11/20/92,3.83
11/23/92,3.83
11/24/92,3.79
11/25/92,3.74
11/26/92,3.7
11/27/92,3.66
11/30/92,3.66
12/01/92,3.62
12/02/92,3.62
12/03/92,3.58
12/04/92,3.58
12/07/92,3.5
12/08/92,3.54
12/09/92,3.5
12/10/92,3.46
12/11/92,3.33
12/14/92,3.25
12/15/92,3.21
12/16/92,3.25
12/17/92,3.21
12/18/92,3.21
12/21/92,3.13
12/22/92,3.09
12/23/92,3.17
12/24/92,3.25
12/25/92,3.25
12/28/92,3.33
12/29/92,3.5
12/30/92,3.5
12/31/92,3.5
01/01/93,3.5
01/04/93,3.54
01/05/93,3.46
01/06/93,3.46
01/07/93,3.62
01/08/93,3.74
01/11/93,3.58
01/12/93,3.66
01/13/93,3.7
01/14/93,3.74
01/15/93,3.7
01/18/93,3.74
01/19/93,3.7
01/20/93,3.83
01/21/93,3.99
01/22/93,4.03
01/25/93,4.03
01/26/93,3.95
01/27/93,3.95
01/28/93,3.95
01/29/93,3.87
02/01/93,3.83
02/02/93,3.79
02/03/93,3.66
02/04/93,3.7
02/05/93,3.66
02/08/93,3.91
02/09/93,3.91
02/10/93,3.95
02/11/93,3.95
02/12/93,3.99
02/15/93,3.99
02/16/93,3.99
02/17/93,4.03
02/18/93,4.12
02/19/93,4.12
02/22/93,4.2
02/23/93,4.28
02/24/93,4.36
02/25/93,4.36
02/26/93,4.28
03/01/93,4.28
03/02/93,4.12
03/03/93,4.2
03/04/93,4.2
03/05/93,4.12
03/08/93,4.07
03/09/93,3.99
03/10/93,4.03
03/11/93,3.99
03/12/93,3.95
03/15/93,3.91
03/16/93,3.99
03/17/93,3.99
03/18/93,3.95
03/19/93,3.95
03/22/93,3.95
03/23/93,3.99
03/24/93,4.03
03/25/93,4.07
03/26/93,4.07
03/29/93,3.99
03/30/93,3.91
03/31/93,3.91
04/01/93,3.95
04/02/93,3.99
04/05/93,4.2
04/06/93,4.2
04/07/93,4.2
04/08/93,4.2
04/09/93,4.2
04/12/93,4.2
04/13/93,4.2
04/14/93,4.36
04/15/93,4.28
04/16/93,4.28
04/19/93,4.2
04/20/93,4.2
04/21/93,4.12
04/22/93,4.07
04/23/93,4.12
04/26/93,4.07
04/27/93,4.03
04/28/93,4.07
04/29/93,4.2
04/30/93,4.12
05/03/93,4.28
05/04/93,4.36
05/05/93,4.53
05/06/93,4.44
05/07/93,4.44
05/10/93,4.53
05/11/93,4.44
05/12/93,4.44
05/13/93,4.44
05/14/93,4.36
05/17/93,4.44
