Date,Price
10/17/00,1
10/18/00,1
10/19/00,1
10/20/00,1
10/23/00,1
10/24/00,1
10/25/00,1
10/26/00,1
10/27/00,0.8
10/30/00,0.72
10/31/00,0.7
11/06/00,0.9
11/07/00,0.9
11/08/00,0.9
11/09/00,0.9
11/10/00,0.9
11/13/00,0.9
11/14/00,0.9
11/15/00,0.9
11/16/00,0.9
11/17/00,0.9
11/20/00,0.9
11/21/00,0.9
11/22/00,0.99
11/23/00,0.99
11/24/00,0.99
11/27/00,0.99
11/28/00,0.99
11/29/00,0.99
12/01/00,0.99
12/04/00,0.99
12/05/00,0.97
12/06/00,0.97
12/07/00,0.97
12/08/00,0.97
12/11/00,0.97
12/12/00,0.97
12/13/00,0.97
12/14/00,0.97
12/15/00,0.97
12/18/00,0.68
12/19/00,0.68
12/20/00,0.68
12/21/00,0.68
12/22/00,0.68
12/26/00,0.68
12/27/00,0.68
12/28/00,0.68
12/29/00,0.68
01/02/01,0.72
01/03/01,0.72
01/04/01,0.72
01/05/01,0.72
01/08/01,0.72
01/09/01,0.63
01/10/01,0.63
01/11/01,0.63
01/12/01,0.63
01/15/01,0.63
01/16/01,0.63
01/17/01,0.63
01/18/01,0.63
01/19/01,0.63
01/22/01,0.63
01/23/01,0.63
01/24/01,0.63
01/25/01,0.63
01/26/01,0.63
01/29/01,0.63
01/30/01,0.63
01/31/01,0.63
02/01/01,0.63
02/02/01,0.63
02/05/01,0.63
02/06/01,0.63
02/07/01,0.63
02/08/01,0.6
02/09/01,0.9
02/12/01,0.9
02/13/01,0.9
02/14/01,0.9
02/15/01,0.54
02/16/01,0.54
02/19/01,0.54
02/20/01,0.33
02/21/01,0.33
02/22/01,0.33
02/23/01,0.33
02/26/01,0.33
02/27/01,0.33
02/28/01,0.33
03/01/01,0.33
03/02/01,0.33
03/05/01,0.49
03/06/01,0.49
03/07/01,0.73
03/08/01,0.73
03/09/01,0.6
03/12/01,0.6
03/13/01,0.6
03/14/01,0.65
03/15/01,0.65
03/16/01,0.65
03/19/01,0.65
03/20/01,0.65
03/21/01,0.65
03/22/01,0.65
03/23/01,0.65
03/26/01,0.65
03/27/01,0.65
03/28/01,0.65
03/29/01,0.65
03/30/01,0.65
04/02/01,0.65
04/03/01,0.65
04/04/01,0.65
04/05/01,0.65
04/06/01,0.65
04/10/01,0.65
04/11/01,0.65
04/16/01,0.65
04/17/01,0.65
04/18/01,0.65
04/19/01,0.65
04/20/01,0.65
04/23/01,0.65
04/24/01,0.7
04/25/01,0.7
04/26/01,0.7
04/27/01,0.7
04/30/01,0.7
05/02/01,0.6
05/03/01,0.6
05/04/01,0.6
05/07/01,0.6
05/08/01,0.6
05/09/01,0.6
05/10/01,0.6
05/11/01,0.6
05/15/01,0.6
05/16/01,0.6
05/17/01,0.6
05/18/01,0.6
05/21/01,0.6
05/22/01,0.6
05/23/01,0.6
05/24/01,0.6
05/25/01,0.6
05/28/01,0.6
05/29/01,0.6
05/30/01,0.6
05/31/01,0.6
06/01/01,0.6
06/04/01,0.6
06/05/01,0.6
06/06/01,0.6
06/07/01,0.6
06/08/01,0.6
06/11/01,0.6
06/13/01,0.6
06/14/01,0.6
06/15/01,0.6
06/18/01,0.36
06/19/01,0.36
06/20/01,0.36
06/21/01,0.36
06/22/01,0.36
06/25/01,0.36
06/26/01,0.36
06/27/01,0.36
06/28/01,0.36
06/29/01,0.36
07/02/01,0.36
07/03/01,0.36
07/04/01,0.36
07/05/01,0.36
07/06/01,0.36
07/09/01,0.5
07/10/01,0.5
07/11/01,0.5
07/12/01,0.5
07/13/01,0.5
07/16/01,0.5
07/17/01,0.5
07/18/01,0.5
07/19/01,0.5
07/20/01,0.5
07/23/01,0.5
07/24/01,0.5
07/25/01,0.5
07/26/01,0.5
07/27/01,0.5
07/30/01,0.5
07/31/01,0.5
08/01/01,0.5
08/02/01,0.5
08/03/01,0.5
08/06/01,0.5
08/07/01,0.5
08/08/01,0.5
08/09/01,0.5
08/10/01,0.5
08/13/01,0.5
08/14/01,0.5
08/15/01,0.5
08/16/01,0.5
08/17/01,0.5
08/20/01,0.5
08/21/01,0.5
08/22/01,0.5
08/23/01,0.5
08/24/01,0.5
08/27/01,0.5
08/28/01,0.5
08/29/01,0.5
08/30/01,0.5
08/31/01,0.5
09/03/01,0.5
09/04/01,0.5
09/05/01,0.5
09/06/01,0.5
09/07/01,0.5
09/10/01,0.5
09/11/01,0.5
09/12/01,0.5
09/13/01,0.51
09/14/01,0.51
09/17/01,0.51
09/18/01,0.51
09/19/01,0.6
09/20/01,0.6
09/21/01,0.6
09/24/01,0.6
09/25/01,0.6
09/26/01,0.6
09/27/01,0.6
09/28/01,0.6
10/01/01,0.6
10/02/01,0.6
10/03/01,0.6
10/04/01,0.6
10/05/01,0.6
10/08/01,0.6
10/09/01,0.6
10/10/01,0.6
10/11/01,0.6
10/12/01,0.6
10/15/01,0.6
10/16/01,0.6
10/17/01,0.6
10/18/01,0.6
10/19/01,0.6
10/22/01,0.6
10/23/01,0.6
10/24/01,0.6
10/25/01,0.6
10/26/01,0.5
10/29/01,0.45
10/30/01,0.45
10/31/01,0.45
11/05/01,0.45
11/06/01,0.45
11/07/01,0.45
11/08/01,0.45
11/09/01,0.45
11/12/01,0.45
11/13/01,0.45
11/14/01,0.4
11/15/01,0.4
11/16/01,0.4
11/19/01,0.4
11/20/01,0.4
11/21/01,0.4
11/22/01,0.4
11/23/01,0.4
11/26/01,0.4
11/27/01,0.4
11/28/01,0.4
11/29/01,0.4
12/03/01,0.4
12/04/01,0.4
12/05/01,0.4
12/06/01,0.4
12/07/01,0.4
12/10/01,0.4
12/11/01,0.4
12/12/01,0.4
12/13/01,0.4
12/14/01,0.4
12/18/01,0.4
12/19/01,0.4
12/20/01,0.4
12/21/01,0.4
