Date,Price
10/24/97,24.52
10/27/97,24.78
10/28/97,24.02
10/29/97,24.02
10/30/97,23.64
10/31/97,23.64
11/03/97,24.02
11/04/97,24.78
11/05/97,24.52
11/06/97,24.65
11/07/97,24.65
11/10/97,24.40
11/11/97,24.02
11/12/97,23.64
11/13/97,23.01
11/14/97,23.26
11/17/97,23.64
11/18/97,23.64
11/19/97,23.39
11/20/97,23.39
11/21/97,23.26
11/24/97,22.88
11/25/97,22.63
11/26/97,22.50
11/27/97,22.37
11/28/97,22.50
12/01/97,22.25
12/02/97,20.60
12/03/97,22.12
12/04/97,22.12
12/05/97,22.25
12/08/97,22.75
12/09/97,23.01
12/10/97,22.63
12/11/97,22.25
12/12/97,21.49
12/15/97,21.62
12/16/97,21.62
12/17/97,21.87
12/18/97,22.25
12/19/97,22.25
12/22/97,21.99
12/23/97,21.99
12/24/97,22.25
12/25/97,22.25
12/26/97,22.25
12/29/97,22.50
12/30/97,22.50
12/31/97,22.50
01/01/98,22.50
01/02/98,21.62
01/05/98,20.23
01/06/98,19.09
01/07/98,19.09
01/08/98,17.82
01/09/98,17.32
01/12/98,17.44
01/13/98,17.82
01/14/98,18.33
01/15/98,17.70
01/16/98,18.08
01/19/98,18.83
01/20/98,19.59
01/21/98,19.85
01/22/98,20.35
01/23/98,21.49
01/26/98,21.36
01/27/98,21.36
01/28/98,22.25
01/29/98,21.74
01/30/98,21.87
02/02/98,26.80
02/03/98,25.79
02/04/98,26.29
02/05/98,25.79
02/06/98,25.28
02/09/98,26.04
02/10/98,25.53
02/11/98,27.30
02/12/98,28.06
02/13/98,27.05
02/16/98,26.55
02/17/98,26.04
02/18/98,27.05
02/19/98,28.57
02/20/98,29.33
02/23/98,28.57
02/24/98,28.57
02/25/98,29.33
02/26/98,29.33
02/27/98,29.33
03/02/98,28.06
03/03/98,28.57
03/04/98,28.82
03/05/98,28.82
03/06/98,29.07
03/09/98,29.07
03/10/98,29.07
03/11/98,29.07
03/12/98,28.82
03/13/98,28.82
03/16/98,28.82
03/17/98,29.07
03/18/98,28.82
03/19/98,28.82
03/20/98,29.07
03/23/98,28.82
03/24/98,28.32
03/25/98,28.32
03/26/98,28.32
03/27/98,28.57
03/30/98,28.32
03/31/98,28.32
04/01/98,26.80
04/02/98,26.55
04/03/98,27.30
04/06/98,27.05
04/07/98,27.56
04/08/98,27.30
04/09/98,27.30
04/10/98,27.30
04/13/98,26.80
04/14/98,27.05
04/15/98,27.30
04/16/98,26.80
04/17/98,26.29
04/20/98,25.79
04/21/98,25.79
04/22/98,26.29
04/23/98,25.28
04/24/98,25.53
04/27/98,25.53
04/28/98,25.53
04/29/98,25.28
04/30/98,25.28
05/01/98,25.28
05/04/98,25.53
05/05/98,25.79
05/06/98,25.16
05/07/98,24.78
05/08/98,25.16
05/11/98,25.16
05/12/98,25.03
05/13/98,24.90
05/14/98,25.16
05/15/98,25.03
05/18/98,25.28
05/19/98,25.28
05/20/98,25.16
05/21/98,25.79
05/22/98,25.79
05/25/98,25.28
05/26/98,25.53
05/27/98,25.53
05/28/98,25.28
05/29/98,24.65
06/01/98,24.65
06/02/98,23.64
06/03/98,22.88
06/04/98,23.39
06/05/98,23.76
06/08/98,23.64
06/09/98,23.39
06/10/98,23.76
06/11/98,23.01
06/12/98,23.01
06/15/98,22.75
06/16/98,22.88
06/17/98,22.50
06/18/98,22.75
06/19/98,22.50
06/22/98,22.12
06/23/98,20.73
06/24/98,20.60
06/25/98,20.48
06/26/98,20.73
06/29/98,21.49
06/30/98,21.49
07/01/98,21.74
07/02/98,22.63
07/03/98,24.02
07/06/98,24.52
07/07/98,24.78
07/08/98,24.40
07/09/98,23.89
07/10/98,23.01
07/13/98,23.26
07/14/98,23.76
07/15/98,23.51
07/16/98,23.64
07/17/98,23.64
07/20/98,23.76
07/21/98,23.51
07/22/98,22.88
07/23/98,22.75
07/24/98,23.26
07/27/98,22.75
07/28/98,22.63
07/29/98,22.75
07/30/98,22.75
07/31/98,22.88
08/03/98,22.75
08/04/98,22.37
08/05/98,21.11
08/06/98,20.35
08/07/98,20.23
08/10/98,20.23
08/11/98,19.21
08/12/98,18.96
08/13/98,19.21
08/14/98,19.59
08/17/98,19.21
08/18/98,18.46
08/19/98,19.09
08/20/98,18.96
08/21/98,18.96
08/24/98,18.58
08/25/98,17.82
08/26/98,17.82
08/27/98,17.70
08/28/98,17.44
08/31/98,17.19
09/01/98,17.32
09/02/98,17.19
09/03/98,16.94
09/04/98,16.69
09/07/98,16.56
09/08/98,16.81
09/09/98,16.81
09/10/98,15.80
09/11/98,14.16
09/14/98,13.90
09/15/98,14.54
09/16/98,14.79
09/17/98,15.30
09/18/98,15.42
09/21/98,15.17
09/22/98,15.17
09/23/98,15.17
09/24/98,15.04
09/25/98,15.45
09/28/98,16.10
09/29/98,15.78
09/30/98,15.94
10/01/98,16.27
10/02/98,15.78
10/05/98,14.46
10/06/98,15.12
10/07/98,15.61
10/08/98,16.10
10/09/98,17.09
10/12/98,18.24
10/13/98,18.24
10/14/98,17.75
10/15/98,18.08
10/16/98,21.03
10/19/98,21.03
10/20/98,21.03
10/21/98,22.35
10/22/98,22.35
10/23/98,24.65
10/26/98,26.13
10/27/98,25.47
10/28/98,25.64
10/29/98,25.96
10/30/98,25.64
11/02/98,25.64
11/03/98,25.80
11/04/98,25.64
11/05/98,25.64
11/06/98,26.46
11/09/98,25.80
11/10/98,23.99
11/11/98,24.32
11/12/98,24.49
11/13/98,24.49
11/16/98,23.50
11/17/98,24.98
11/18/98,25.64
11/19/98,26.13
11/20/98,27.28
11/23/98,28.76
11/24/98,27.77
11/25/98,27.61
11/26/98,28.76
11/27/98,28.26
11/30/98,28.26
12/01/98,27.61
12/02/98,27.28
12/03/98,27.11
12/04/98,26.13
12/07/98,27.11
12/08/98,26.29
12/09/98,25.80
12/10/98,26.46
12/11/98,26.13
12/14/98,25.96
12/15/98,25.80
12/16/98,26.13
12/17/98,26.29
12/18/98,26.79
12/21/98,27.11
12/22/98,27.11
12/23/98,27.28
12/24/98,27.61
12/25/98,27.61
12/28/98,27.61
12/29/98,27.11
12/30/98,27.11
01/04/99,27.44
01/05/99,27.94
01/06/99,29.25
01/07/99,32.21
01/08/99,30.89
01/11/99,31.72
01/12/99,31.55
01/13/99,31.55
01/14/99,30.24
01/15/99,29.74
01/18/99,31.06
01/19/99,31.72
01/20/99,31.72
01/21/99,30.89
01/22/99,30.24
01/25/99,29.09
01/26/99,30.24
01/27/99,30.57
01/28/99,31.55
01/29/99,31.55
02/01/99,31.72
02/02/99,31.55
02/03/99,31.22
02/04/99,30.57
02/05/99,30.40
02/08/99,30.57
02/09/99,29.74
02/10/99,29.74
02/11/99,29.74
02/12/99,29.74
02/15/99,29.58
02/16/99,29.91
02/17/99,29.74
02/18/99,30.07
02/19/99,29.74
02/22/99,29.58
02/23/99,29.42
02/24/99,29.42
02/25/99,29.58
02/26/99,30.07
03/01/99,29.91
03/02/99,29.91
03/03/99,30.40
03/04/99,29.91
03/05/99,30.24
03/08/99,30.57
03/09/99,29.91
03/10/99,30.07
03/11/99,30.07
03/12/99,30.24
03/15/99,29.74
03/16/99,30.57
03/17/99,31.06
03/18/99,31.22
03/19/99,31.06
03/22/99,32.21
03/23/99,32.21
03/24/99,32.21
03/25/99,32.21
03/26/99,32.04
03/29/99,31.72
03/30/99,31.55
03/31/99,31.88
04/05/99,31.88
04/06/99,34.51
04/07/99,34.51
04/08/99,35.50
04/12/99,35.17
04/13/99,37.14
04/14/99,38.78
04/15/99,37.14
04/16/99,37.80
04/19/99,40.10
04/20/99,41.41
04/21/99,40.75
04/22/99,39.11
04/23/99,39.77
04/26/99,38.78
04/27/99,39.11
04/28/99,39.11
04/29/99,38.78
04/30/99,39.44
05/03/99,39.44
05/04/99,40.10
05/05/99,40.10
05/06/99,44.04
05/07/99,46.01
05/10/99,46.34
05/11/99,43.71
05/12/99,40.10
05/13/99,39.11
05/14/99,40.75
05/17/99,40.43
05/18/99,40.75
05/19/99,41.08
05/20/99,40.10
05/21/99,38.78
05/24/99,37.47
05/25/99,36.81
05/26/99,38.45
05/27/99,38.78
05/28/99,39.44
05/31/99,40.43
06/01/99,40.10
06/02/99,40.43
06/03/99,40.75
06/04/99,40.43
06/07/99,40.43
06/08/99,41.08
06/09/99,41.08
06/10/99,40.43
06/11/99,40.75
06/14/99,40.43
06/15/99,40.75
06/16/99,41.08
06/17/99,41.41
06/18/99,41.74
06/21/99,42.07
06/22/99,43.38
06/23/99,44.04
06/24/99,44.70
06/25/99,45.68
06/28/99,44.70
06/29/99,43.38
06/30/99,44.70
07/01/99,45.03
07/02/99,44.04
07/05/99,43.05
07/06/99,42.07
07/07/99,42.40
07/08/99,42.73
07/09/99,40.75
07/12/99,41.08
07/13/99,41.08
07/14/99,40.43
07/15/99,40.75
07/16/99,41.08
07/19/99,40.75
07/20/99,39.77
07/21/99,39.11
07/22/99,39.44
07/23/99,38.45
07/26/99,38.12
07/27/99,34.84
07/28/99,36.15
07/29/99,38.12
07/30/99,38.12
08/02/99,39.44
08/04/99,40.75
08/05/99,41.08
08/06/99,39.44
