Date,Price
04/20/12,440.15
04/23/12,440.33
04/24/12,439.43
04/25/12,458.94
04/26/12,454.46
04/27/12,449.54
04/30/12,455.36
05/02/12,456.25
05/03/12,447.75
05/04/12,457.6
05/07/12,447.31
05/08/12,449.99
05/09/12,449.1
05/10/12,441.04
05/11/12,439.26
05/14/12,420.47
05/15/12,416.53
05/16/12,420.47
05/17/12,431.2
05/18/12,416
05/21/12,422.26
05/22/12,422.44
05/23/12,429.41
05/24/12,428.52
05/25/12,428.52
05/28/12,432.1
05/29/12,445.52
05/30/12,447.31
05/31/12,447.31
06/01/12,446.41
06/04/12,426.02
06/05/12,426.73
06/06/12,427.63
06/07/12,428.52
06/08/12,430.31
06/11/12,432.1
06/13/12,433.17
06/14/12,432.99
06/15/12,431.2
06/18/12,443.91
06/19/12,440.33
06/20/12,441.04
06/21/12,441.94
06/22/12,438.36
06/25/12,437.47
06/26/12,436.57
06/27/12,450.89
06/28/12,451.78
06/29/12,451.78
07/02/12,456.25
07/03/12,462.07
07/04/12,460.73
07/05/12,461.62
07/06/12,459.83
07/09/12,456.25
07/10/12,455.36
07/11/12,453.57
07/12/12,475.49
07/13/12,478.62
07/16/12,483.09
07/17/12,478.62
07/18/12,470.57
07/19/12,472.8
07/20/12,481.3
07/23/12,474.15
07/24/12,471.46
07/25/12,469.67
07/26/12,469.67
07/27/12,475.04
07/30/12,487.12
07/31/12,488.46
08/01/12,492.93
08/02/12,490.25
08/03/12,490.25
08/06/12,490.25
08/08/12,495.62
08/09/12,490.25
08/10/12,484.88
08/13/12,485.33
08/14/12,485.78
08/15/12,486.22
08/16/12,484.43
08/17/12,481.3
08/22/12,478.62
08/23/12,489.35
08/24/12,486.22
08/28/12,479.51
08/29/12,483.09
08/30/12,479.51
08/31/12,480.41
09/03/12,480.41
09/04/12,480.86
09/05/12,481.3
09/06/12,481.75
09/07/12,492.04
09/10/12,499.19
09/11/12,499.19
09/12/12,500.98
09/13/12,503.22
09/14/12,503.67
09/17/12,492.04
09/18/12,492.93
09/19/12,487.56
09/20/12,483.99
09/21/12,492.04
09/24/12,487.56
09/25/12,492.04
09/26/12,495.62
09/27/12,487.56
09/28/12,487.56
10/01/12,490.25
10/02/12,492.04
10/03/12,496.51
10/04/12,499.19
10/05/12,498.3
10/08/12,497.41
10/09/12,496.51
10/10/12,492.04
10/11/12,489.8
10/12/12,486.22
10/15/12,487.12
10/16/12,495.62
10/17/12,489.8
10/18/12,483.54
10/19/12,476.83
10/22/12,472.36
10/23/12,477.28
10/24/12,466.99
10/25/12,468.33
10/29/12,466.99
10/30/12,471.46
10/31/12,474.15
11/05/12,483.54
11/06/12,484.88
11/07/12,483.99
11/08/12,481.3
11/09/12,484.88
11/12/12,492.04
11/13/12,492.04
11/14/12,492.49
11/15/12,495.62
11/16/12,508.14
11/19/12,510.38
11/20/12,513.51
11/21/12,532.3
11/22/12,531.4
11/23/12,529.61
11/26/12,533.19
11/27/12,541.24
11/28/12,537.66
11/29/12,533.19
12/03/12,534.98
12/04/12,530.51
12/05/12,527.82
12/06/12,540.35
12/07/12,581.5
12/10/12,573
12/11/12,590.45
12/12/12,590.45
12/13/12,595.81
12/14/12,606.1
12/17/12,594.92
12/18/12,581.5
12/19/12,581.5
12/20/12,584.18
12/21/12,577.03
12/26/12,577.03
12/27/12,577.03
12/28/12,554.66
01/02/13,585.08
01/03/13,602.97
01/04/13,602.97
01/07/13,608.34
01/08/13,603.86
01/09/13,601.18
01/10/13,595.81
01/11/13,577.03
01/14/13,581.5
01/15/13,585.97
01/16/13,588.66
