Date,Price
8/12/97,3.4
8/13/97,3.4
8/14/97,3.44
8/15/97,3.44
8/18/97,3.28
8/19/97,3.28
8/20/97,3.47
8/21/97,3.44
8/22/97,3.44
8/25/97,3.32
8/26/97,3.28
8/27/97,3.32
8/28/97,3.28
8/29/97,2.9
9/1/97,2.79
9/2/97,2.75
9/3/97,2.9
9/4/97,2.94
9/5/97,3.21
9/8/97,3.05
9/9/97,3.32
9/10/97,3.32
9/11/97,3.47
9/12/97,3.55
9/15/97,3.7
9/16/97,3.89
9/17/97,3.89
9/18/97,3.63
9/19/97,3.82
9/22/97,3.89
9/23/97,3.82
9/24/97,3.82
9/25/97,3.97
9/26/97,4.05
9/29/97,4.05
9/30/97,3.97
10/1/97,4.2
10/2/97,4.05
10/3/97,3.97
10/6/97,3.97
10/7/97,3.74
10/8/97,3.78
10/9/97,3.82
10/10/97,3.74
10/13/97,3.47
10/14/97,3.59
10/15/97,3.59
10/16/97,3.47
10/17/97,3.32
10/20/97,3.32
10/21/97,3.13
10/22/97,2.98
10/23/97,2.75
10/24/97,2.86
10/27/97,2.86
10/28/97,2.75
10/29/97,2.94
10/30/97,2.82
10/31/97,2.86
11/3/97,2.86
11/4/97,2.94
11/5/97,3.17
11/6/97,3.13
11/7/97,3.05
11/10/97,2.98
11/11/97,2.86
11/12/97,2.82
11/13/97,2.75
11/14/97,2.82
11/17/97,2.79
11/18/97,2.82
11/19/97,2.79
11/20/97,2.86
11/21/97,2.86
11/24/97,2.82
11/25/97,2.6
11/26/97,2.67
11/27/97,2.48
11/28/97,2.44
12/1/97,2.6
12/2/97,2.63
12/3/97,2.63
12/4/97,2.67
12/5/97,2.67
12/8/97,2.86
12/9/97,2.94
12/10/97,2.9
12/11/97,2.9
12/12/97,2.9
12/15/97,2.9
12/16/97,2.56
12/17/97,2.63
12/18/97,2.6
12/19/97,2.67
12/22/97,2.52
12/23/97,2.52
12/24/97,2.44
12/25/97,2.44
12/26/97,2.44
12/29/97,2.52
12/30/97,2.52
12/31/97,2.52
1/1/98,2.52
1/2/98,2.56
1/5/98,2.52
1/6/98,2.29
1/7/98,2.21
1/8/98,1.95
1/9/98,1.88
1/12/98,1.89
1/13/98,1.98
1/14/98,2.06
1/15/98,2.21
1/16/98,2.14
1/19/98,2.14
1/20/98,2.4
1/21/98,2.29
1/22/98,2.21
1/23/98,1.86
1/26/98,1.8
1/27/98,1.74
1/28/98,1.82
1/29/98,1.82
1/30/98,1.98
2/2/98,2.21
2/3/98,2.29
2/4/98,2.37
2/5/98,2.48
2/6/98,2.48
2/9/98,2.67
2/10/98,2.6
2/11/98,2.71
2/12/98,2.86
2/13/98,2.82
2/16/98,2.75
2/17/98,2.9
2/18/98,2.9
2/19/98,2.94
2/20/98,2.94
2/23/98,2.94
2/24/98,2.94
2/25/98,2.98
2/26/98,2.9
2/27/98,2.82
3/2/98,2.94
3/3/98,3.05
3/4/98,2.98
3/5/98,3.02
3/6/98,2.98
3/9/98,2.98
3/10/98,2.98
3/11/98,2.94
3/12/98,2.98
3/13/98,2.98
3/16/98,2.98
3/17/98,3.05
3/18/98,2.98
3/19/98,2.98
3/20/98,2.98
3/23/98,3.05
3/24/98,3.05
3/25/98,3.05
3/26/98,3.05
3/27/98,3.02
3/30/98,3.09
3/31/98,3.17
4/1/98,3.02
4/2/98,2.67
4/3/98,2.52
4/6/98,2.52
4/7/98,2.6
4/8/98,2.6
4/9/98,2.6
4/10/98,2.6
4/13/98,2.67
4/14/98,2.82
4/15/98,2.75
4/16/98,2.67
4/17/98,2.67
4/20/98,2.67
4/21/98,2.56
4/22/98,2.67
4/23/98,2.67
4/24/98,2.6
4/27/98,2.52
4/28/98,2.4
4/29/98,2.37
4/30/98,2.37
5/1/98,2.37
5/4/98,2.37
5/5/98,2.4
5/6/98,2.37
5/7/98,2.37
5/8/98,2.6
5/11/98,2.6
5/12/98,2.64
5/13/98,2.55
5/14/98,2.51
5/15/98,2.51
5/18/98,2.42
5/19/98,2.42
5/20/98,2.38
5/21/98,2.38
5/22/98,2.34
5/25/98,2.34
5/26/98,2.16
5/27/98,2.21
5/28/98,2.21
5/29/98,2.15
6/1/98,2.16
6/2/98,2.16
6/3/98,2.08
6/4/98,2.08
6/5/98,2.03
6/8/98,1.96
6/9/98,1.96
6/10/98,1.87
6/11/98,1.85
6/12/98,1.85
6/15/98,1.77
6/16/98,1.78
6/17/98,1.59
6/18/98,1.68
6/19/98,1.47
6/22/98,1.44
6/23/98,1.44
6/24/98,1.44
6/25/98,1.4
6/26/98,1.4
6/29/98,1.56
6/30/98,1.56
7/1/98,1.75
7/2/98,1.66
7/3/98,1.58
7/6/98,1.56
7/7/98,1.51
7/8/98,1.47
7/9/98,1.47
7/10/98,1.47
7/13/98,1.54
7/14/98,1.51
7/15/98,1.51
7/16/98,1.51
7/17/98,1.52
7/20/98,1.45
7/21/98,1.4
7/22/98,1.39
7/23/98,1.37
7/24/98,1.35
7/27/98,1.35
7/28/98,1.33
7/29/98,1.32
7/30/98,1.32
7/31/98,1.3
8/3/98,1.3
8/4/98,1.3
8/5/98,1.32
8/6/98,1.28
8/7/98,1.25
8/10/98,1.19
8/11/98,1.14
8/12/98,1.11
8/13/98,1.13
8/14/98,1.13
8/17/98,1.21
8/18/98,1.21
8/19/98,1.23
8/20/98,1.26
8/21/98,1.21
8/24/98,1.19
8/25/98,1.18
8/26/98,1.14
8/27/98,1.04
8/28/98,1
8/31/98,0.88
9/1/98,0.79
9/2/98,0.85
9/3/98,0.83
9/4/98,0.81
9/7/98,0.85
9/8/98,0.87
9/9/98,0.88
9/10/98,0.87
9/11/98,0.82
9/14/98,0.82
9/15/98,0.81
9/16/98,0.78
9/17/98,0.71
9/18/98,0.71
9/21/98,0.69
9/22/98,0.68
9/23/98,0.68
9/24/98,0.83
9/25/98,0.95
9/28/98,0.78
9/29/98,0.74
9/30/98,0.75
10/1/98,0.75
10/2/98,0.75
10/5/98,0.74
