Date,Price
01/08/92,3.3
01/09/92,3.3
01/10/92,3.56
01/13/92,3.56
01/14/92,3.56
01/15/92,3.56
01/16/92,3.56
01/17/92,3.56
01/20/92,3.56
01/21/92,3.56
01/22/92,3.56
01/23/92,3.56
01/24/92,3.66
01/27/92,3.66
01/28/92,3.66
01/29/92,3.76
01/30/92,3.76
01/31/92,3.76
02/03/92,3.76
02/04/92,4.13
02/05/92,4.07
02/06/92,4
02/07/92,4.07
02/10/92,4.07
02/11/92,4.07
02/12/92,4.07
02/13/92,4.07
02/14/92,4.19
02/17/92,4.19
02/18/92,4.19
02/19/92,4.19
02/20/92,4.19
02/21/92,4.19
02/24/92,4.07
02/25/92,4.07
02/26/92,4.07
02/27/92,4.07
02/28/92,4.07
03/02/92,4.19
03/03/92,4.19
03/04/92,4.13
03/05/92,4.13
03/06/92,4.16
03/09/92,4.19
03/10/92,4.19
03/11/92,4.19
03/12/92,4.19
03/13/92,4.26
03/16/92,4.26
03/17/92,4.19
03/18/92,4.19
03/19/92,4.19
03/20/92,4.19
03/23/92,4.19
03/24/92,4.19
03/25/92,4.13
03/26/92,4.13
03/27/92,4.13
03/30/92,4.13
03/31/92,4.26
04/01/92,4.29
04/02/92,4.38
04/03/92,4.38
04/06/92,4.19
04/07/92,4.19
04/08/92,4.19
04/09/92,4.19
04/10/92,4.19
04/13/92,4.19
04/14/92,4.19
04/15/92,4.19
04/16/92,4.19
04/17/92,4.19
04/20/92,4.19
04/21/92,4.1
04/22/92,4.1
04/23/92,4.1
04/24/92,4.26
04/27/92,4.1
04/28/92,4.22
04/29/92,4.22
04/30/92,4.22
05/01/92,4.22
05/04/92,4.22
05/05/92,4.22
05/06/92,4.22
05/07/92,4.22
05/08/92,4.22
05/11/92,4.22
05/12/92,4.22
05/13/92,4.22
05/14/92,4.22
05/15/92,4.22
05/18/92,4.22
05/19/92,4.22
05/20/92,4.32
05/21/92,4.32
05/22/92,4.32
05/25/92,4.38
05/26/92,4.38
05/27/92,4.38
05/28/92,4.38
05/29/92,4.45
06/01/92,4.45
06/02/92,4.45
06/03/92,4.45
06/04/92,5.65
06/05/92,5.65
06/08/92,5.65
06/09/92,5.65
06/10/92,5.65
06/11/92,5.65
06/12/92,5.65
06/15/92,5.65
06/16/92,5.65
06/17/92,5.65
06/18/92,5.65
06/19/92,5.65
06/22/92,5.65
06/23/92,5.65
06/24/92,5.65
06/25/92,5.65
06/26/92,5.65
06/29/92,5.65
06/30/92,5.65
07/01/92,4.45
07/02/92,4.45
07/03/92,4.45
07/06/92,4.45
07/07/92,4.45
07/08/92,4.45
07/09/92,4.45
07/10/92,4.45
