Date,Price
05/26/92,24.4
05/27/92,25.01
05/28/92,24.65
05/29/92,24.89
06/01/92,24.89
06/02/92,25.99
06/03/92,26.84
06/04/92,30.02
06/05/92,30.26
06/08/92,33.25
06/09/92,32.03
06/10/92,32.33
06/11/92,32.03
06/12/92,32.03
06/15/92,32.33
06/16/92,31.11
06/17/92,30.26
06/18/92,30.02
06/19/92,29.53
06/22/92,29.28
06/23/92,27.94
06/24/92,29.04
06/25/92,29.04
06/26/92,31.11
06/29/92,30.81
06/30/92,30.81
07/01/92,30.5
07/02/92,30.5
07/03/92,29.16
07/06/92,28.67
07/07/92,28.67
07/08/92,28.06
07/09/92,25.62
07/10/92,27.45
07/13/92,27.09
07/14/92,26.11
07/15/92,25.5
07/16/92,25.5
07/17/92,25.38
07/20/92,25.62
07/21/92,26.48
07/22/92,26.72
07/23/92,27.45
07/24/92,27.94
07/27/92,27.82
07/28/92,27.21
07/29/92,27.33
07/30/92,27.33
07/31/92,27.82
08/03/92,27.94
08/04/92,28.8
08/05/92,29.89
08/06/92,29.89
08/07/92,30.5
08/10/92,30.02
08/11/92,29.28
08/12/92,30.26
08/13/92,31.11
08/14/92,31.11
08/17/92,32.03
08/18/92,32.94
08/19/92,34.16
08/20/92,33.55
08/21/92,33.55
08/24/92,32.33
08/25/92,32.03
08/26/92,32.33
08/27/92,30.81
08/28/92,30.81
08/31/92,30.02
09/01/92,30.26
09/02/92,30.5
09/03/92,30.81
09/04/92,30.38
09/07/92,30.5
09/08/92,30.5
09/09/92,30.81
09/10/92,31.11
09/11/92,32.33
09/14/92,32.33
09/15/92,32.94
09/16/92,33.55
09/17/92,33.55
09/18/92,33.25
09/21/92,33.25
09/22/92,32.94
09/23/92,32.94
09/24/92,32.33
09/25/92,33.25
09/28/92,33.55
09/29/92,33.86
09/30/92,34.77
10/01/92,35.38
10/02/92,35.99
10/05/92,36.3
10/06/92,35.69
10/07/92,35.38
10/08/92,35.69
10/09/92,35.38
10/12/92,35.99
10/13/92,36.6
10/14/92,35.69
10/15/92,34.47
10/16/92,34.77
10/19/92,33.25
10/20/92,33.25
10/21/92,33.55
10/22/92,32.94
10/23/92,32.33
10/26/92,32.33
10/27/92,30.81
10/28/92,31.11
10/29/92,32.03
10/30/92,32.03
11/02/92,32.03
11/03/92,32.94
11/04/92,32.94
11/05/92,32.64
11/06/92,32.33
11/09/92,31.72
11/10/92,32.03
11/11/92,32.33
11/12/92,32.03
11/13/92,32.03
11/16/92,32.03
11/17/92,31.72
11/18/92,30.81
11/19/92,30.81
11/20/92,29.77
11/23/92,30.26
11/24/92,29.77
11/25/92,28.19
11/26/92,26.72
11/27/92,26.48
11/30/92,26.48
12/01/92,26.97
12/02/92,27.45
12/03/92,28.19
12/04/92,28.19
12/07/92,28.8
