Date,Price
10/05/11,11
10/06/11,10.68
10/07/11,10.96
10/10/11,11.6
10/11/11,11.36
10/12/11,11.6
10/13/11,12.36
10/14/11,12.1
10/17/11,12.38
10/18/11,12.26
10/19/11,12.2
10/20/11,12.2
10/21/11,12.3
10/24/11,12.2
10/25/11,12.32
10/26/11,12.16
10/27/11,12.22
10/28/11,12.38
11/02/11,12.58
11/03/11,12.74
11/04/11,14.48
11/08/11,15.5
11/09/11,14.8
11/10/11,14.94
11/11/11,14.56
11/14/11,14.68
11/15/11,14.8
11/16/11,15.52
11/17/11,16.32
11/18/11,16.6
11/21/11,16.82
11/22/11,16.16
11/23/11,14.98
11/24/11,14.72
11/25/11,15.36
11/28/11,15.4
11/29/11,15.3
12/01/11,15.3
12/02/11,15.18
12/05/11,15.12
12/06/11,15
12/07/11,15.24
12/08/11,15.7
12/09/11,16.72
12/12/11,17.1
12/13/11,17.06
12/14/11,17.1
12/15/11,17.02
12/16/11,17.66
12/19/11,18.2
12/20/11,18.02
12/21/11,18.2
12/22/11,18.06
12/23/11,18.1
12/26/11,18.4
12/27/11,18.34
12/28/11,18.34
12/29/11,17.88
01/02/12,18.02
01/03/12,18.22
01/04/12,18.2
01/05/12,18.08
01/06/12,18
01/09/12,17.9
01/10/12,18
01/11/12,18.8
01/12/12,19.1
01/13/12,18.36
01/16/12,18
01/17/12,18
01/18/12,18
01/19/12,18.4
01/20/12,18.68
01/24/12,19.7
01/25/12,19.5
01/26/12,19.7
01/27/12,19.76
01/30/12,19.28
01/31/12,19.62
02/01/12,19.2
02/02/12,19.2
02/03/12,19.68
02/06/12,20.45
02/07/12,20.4
02/08/12,20.9
02/09/12,21.3
02/10/12,22.9
02/13/12,21.95
02/14/12,21.55
02/15/12,21.45
02/16/12,21.8
02/17/12,21.8
02/20/12,21.5
02/21/12,21.75
02/22/12,23.25
02/23/12,21.75
02/24/12,21
02/27/12,20.9
02/28/12,21.25
02/29/12,21.35
03/01/12,21.75
03/02/12,21.85
03/05/12,22.2
03/06/12,22.8
03/07/12,22.3
03/08/12,22
03/09/12,21.5
03/12/12,21.4
03/13/12,21.2
03/14/12,21.05
03/15/12,20.3
03/16/12,21.35
03/19/12,21.6
03/20/12,21.5
03/21/12,22.5
03/22/12,22
03/23/12,21.4
03/26/12,21.5
03/27/12,21.7
03/28/12,21.5
03/29/12,21.2
03/30/12,20.4
04/02/12,20.7
04/03/12,21.7
04/04/12,21.5
04/10/12,21.5
04/11/12,21.2
04/12/12,21.8
04/13/12,22.35
04/16/12,22.95
04/17/12,22.65
04/18/12,23.5
04/19/12,23.5
04/20/12,23
04/23/12,23.75
04/24/12,23.6
04/25/12,24.2
04/26/12,24
04/27/12,23.8
04/30/12,24.2
05/02/12,24.95
05/03/12,25
05/04/12,24.75
05/07/12,23.85
05/08/12,24.9
05/09/12,24.4
05/10/12,24.15
05/11/12,23.55
05/14/12,22.9
05/15/12,21.9
05/16/12,21.6
05/17/12,22.7
05/18/12,21.95
05/21/12,22.3
05/22/12,22
05/23/12,21.9
05/24/12,21.85
05/25/12,21.95
05/28/12,22.75
05/29/12,22.7
05/30/12,22.6
05/31/12,22.95
06/01/12,24.5
06/04/12,23.6
06/05/12,23.25
06/06/12,23.85
06/07/12,24.9
06/08/12,24.6
06/11/12,25
06/13/12,26.5
06/14/12,25.8
06/15/12,24.95
06/18/12,25.7
06/19/12,25.45
06/20/12,26
06/21/12,26.8
06/22/12,26.7
06/25/12,26.8
06/26/12,26.8
06/27/12,27.6
06/28/12,27.5
06/29/12,27.15
07/02/12,27.8
07/03/12,29.1
07/04/12,28.6
07/05/12,28.7
07/06/12,29.5
07/09/12,28.7
07/10/12,29.1
07/11/12,28.4
07/12/12,27
07/13/12,26.7
07/16/12,27.25
07/17/12,27
07/18/12,26.1
07/19/12,26.55
07/20/12,26.6
07/23/12,26.05
07/24/12,25.9
07/25/12,25.4
07/26/12,26.25
07/27/12,26.45
07/30/12,26.65
07/31/12,26.55
08/01/12,26.8
08/02/12,27.15
08/03/12,27.4
08/06/12,28.1
08/08/12,28.3
08/09/12,27.75
08/10/12,27.75
08/13/12,27.95
08/14/12,28.35
08/15/12,28.15
08/16/12,27.1
08/17/12,26.8
08/22/12,27
08/23/12,28.3
08/24/12,28.25
08/28/12,29.25
08/29/12,29.35
08/30/12,28.25
08/31/12,28.5
09/03/12,29
09/04/12,29.4
09/05/12,29.05
09/06/12,29.3
09/07/12,29.6
09/10/12,29.3
09/11/12,29.5
09/12/12,29.5
09/13/12,29.9
09/14/12,30.1
09/17/12,29.5
09/18/12,29.5
09/19/12,29.55
09/20/12,29.9
09/21/12,30
09/24/12,30.4
09/25/12,30
09/26/12,29.6
09/27/12,29.75
09/28/12,29.7
10/01/12,29.7
10/02/12,29.95
10/03/12,30.5
10/04/12,29.65
10/05/12,29
10/08/12,29.7
10/09/12,30
10/10/12,30.15
10/11/12,29.95
10/12/12,30.6
10/15/12,30.5
10/16/12,31.4
10/17/12,31.3
10/18/12,31.15
10/19/12,30.65
10/22/12,30.65
10/23/12,30.9
10/24/12,30.05
10/25/12,30.05
10/29/12,30.05
10/30/12,30
10/31/12,29.95
11/05/12,30.3
11/06/12,29.95
11/07/12,29.3
11/08/12,29.35
11/09/12,29.95
11/12/12,29.7
11/13/12,29.75
11/14/12,30.15
11/15/12,29.5
11/16/12,29.4
11/19/12,28.95
11/20/12,28.85
11/21/12,28.8
11/22/12,29
11/23/12,29.3
11/26/12,30.9
11/27/12,32.45
11/28/12,31.85
11/29/12,32.2
12/03/12,33.3
12/04/12,32.95
12/05/12,32.5
12/06/12,32.1
12/07/12,32.6
12/10/12,32.5
12/11/12,34
12/12/12,33.95
12/13/12,33.9
12/14/12,33.8
12/17/12,33.4
12/18/12,32.55
12/19/12,33
12/20/12,32.3
12/21/12,32.05
12/26/12,32.55
12/27/12,32.25
12/28/12,33
01/02/13,32.3
01/03/13,32.25
01/04/13,32.25
01/07/13,33.2
01/08/13,33.3
01/09/13,33.1
01/10/13,32
01/11/13,32.05
01/14/13,32.35
01/15/13,32.5
01/16/13,32.5
01/17/13,32
01/18/13,31.8
01/21/13,31.95
01/22/13,32
01/23/13,31.95
01/24/13,32.5
01/25/13,33
01/28/13,33.5
01/29/13,34.1
01/30/13,35
01/31/13,34.95
02/01/13,35
02/04/13,36.2
02/05/13,36
02/06/13,35.95
02/07/13,35.95
02/08/13,36
02/11/13,35.9
02/12/13,35.45
02/13/13,36
02/14/13,37.1
02/15/13,37.75
02/18/13,38
02/19/13,38.05
02/20/13,38.35
02/21/13,39.35
02/22/13,39.8
02/25/13,40.6
02/26/13,41.6
02/27/13,41.9
02/28/13,41.4
03/01/13,42.3
03/04/13,40.35
03/05/13,39.35
03/06/13,40.6
03/07/13,39
03/08/13,39.7
03/11/13,39.95
03/12/13,39.65
03/13/13,39.5
03/14/13,39.4
03/15/13,39.9
03/18/13,39
03/19/13,39.5
03/20/13,39.2
03/21/13,38.9
03/22/13,38.65
03/25/13,39.1
03/26/13,40
03/27/13,40.05
04/01/13,40.5
04/02/13,39.8
04/03/13,39.4
04/04/13,39.35
04/05/13,39.35
04/08/13,40.1
04/10/13,40.7
04/11/13,41.45
04/12/13,40.5
04/15/13,40
04/16/13,40
04/17/13,40.7
04/18/13,41
04/19/13,40.6
04/22/13,39.85
04/23/13,38.85
04/24/13,38.3
04/25/13,38
04/26/13,38.5
04/29/13,38.8
04/30/13,39.9
05/02/13,39.95
05/03/13,40.6
05/06/13,41.3
05/07/13,40.7
05/08/13,40.9
05/09/13,40.8
05/10/13,40.8
05/14/13,41
05/15/13,40.9
05/16/13,40.25
05/17/13,39.85
05/20/13,40.25
05/21/13,40.15
05/22/13,40
05/23/13,40.3
05/24/13,39.85
05/27/13,39.5
05/28/13,38.7
05/29/13,39.1
05/30/13,39.1
05/31/13,34.5
06/03/13,36
06/04/13,35.6
06/05/13,36.05
06/06/13,37
06/07/13,38.05
06/10/13,38.45
06/11/13,36.3
06/13/13,33.9
06/14/13,34.9
06/17/13,35.9
06/18/13,37.5
06/19/13,37.7
06/20/13,36.2
06/21/13,36
06/24/13,34.6
06/25/13,33.75
06/26/13,35.5
06/27/13,36.2
06/28/13,36.3
07/01/13,36.4
07/02/13,36.4
07/03/13,36.45
07/04/13,36.5
07/05/13,36.35
07/08/13,35.4
07/09/13,35.15
07/10/13,35.5
07/11/13,37.5
07/12/13,37.6
07/15/13,37.55
07/16/13,38.4
07/17/13,38.3
07/18/13,38.95
07/19/13,38.9
07/22/13,38.5
07/23/13,39.95
07/24/13,41
07/25/13,40.65
07/26/13,40.1
07/29/13,40.05
07/30/13,40.95
07/31/13,40.95
08/01/13,41.3
08/02/13,40.5
08/05/13,40.4
08/06/13,40.4
08/07/13,39.95
08/08/13,39.9
08/12/13,40.5
08/13/13,40.6
08/14/13,41.7
08/15/13,40.2
08/16/13,39.3
08/22/13,38.15
08/23/13,38.05
08/27/13,37.5
08/28/13,36.3
08/29/13,39.3
08/30/13,38.6
09/02/13,39.3
09/03/13,39.35
09/04/13,38.25
09/05/13,39
09/06/13,38.6
09/09/13,39.25
09/10/13,39.2
09/11/13,39.1
09/12/13,39.4
09/13/13,39.05
09/16/13,40.25
09/17/13,40.6
09/18/13,40.6
09/19/13,42.1
09/20/13,41.85
09/23/13,40.95
09/24/13,41.2
09/25/13,40.85
09/26/13,40.5
09/27/13,41.95
09/30/13,41.7
10/01/13,41.7
10/02/13,42.8
10/03/13,43.75
10/04/13,45.2
10/07/13,46
10/08/13,45.35
10/09/13,44.5
10/10/13,46.4
10/11/13,46.45
10/14/13,45.5
10/16/13,46
10/17/13,46.35
10/18/13,46.5
10/21/13,46.3
10/22/13,46.4
10/23/13,45.95
10/24/13,45.85
10/25/13,45.5
10/29/13,45.2
10/30/13,45
10/31/13,45.1
11/04/13,45.75
11/05/13,45.85
11/06/13,45.85
11/07/13,46.2
11/08/13,45
11/11/13,45
11/12/13,45
11/13/13,44.85
11/14/13,44.5
11/15/13,42.7
11/18/13,41.85
11/19/13,41.5
11/20/13,41.85
11/21/13,41
11/22/13,40.8
11/25/13,40.95
11/26/13,40.8
11/27/13,41.9
11/28/13,43.45
11/29/13,42.15
12/02/13,41.45
12/03/13,42
12/04/13,40.75
12/05/13,41.6
12/06/13,40.5
12/09/13,40.9
12/10/13,39.5
12/11/13,38.95
12/12/13,37.55
12/13/13,37.75
12/16/13,37.7
12/17/13,37.2
12/18/13,36.7
12/19/13,37
12/20/13,36.65
12/23/13,37.3
12/26/13,38.5
12/27/13,37.9
01/02/14,39
01/03/14,39.2
01/06/14,39
01/07/14,39.1
01/08/14,39.2
01/09/14,39.15
01/10/14,38.7
01/13/14,39
01/14/14,38.9
01/15/14,38.85
01/16/14,39
01/17/14,39
01/20/14,38.85
01/21/14,39.1
01/22/14,39.55
01/23/14,39.5
01/24/14,39.6
01/27/14,39
01/28/14,38.65
01/29/14,38.8
01/30/14,38.5
02/03/14,38.4
02/04/14,38.3
02/05/14,38.65
02/06/14,39
02/07/14,39
02/10/14,40.2
02/11/14,41.05
02/12/14,41.4
02/13/14,41.1
02/14/14,41.1
02/17/14,42.65
02/18/14,41.7
02/19/14,43.8
02/20/14,44.5
02/21/14,43.7
02/24/14,45
02/25/14,44.6
02/26/14,45.2
02/27/14,45.5
02/28/14,46.7
03/03/14,45.75
03/04/14,45.55
