Date,Price
07/20/95,15.95
07/21/95,15.95
07/24/95,15.95
07/25/95,15.33
07/26/95,15.33
07/27/95,15.49
07/28/95,15.49
07/31/95,15.64
08/01/95,15.64
08/02/95,15.64
08/03/95,15.64
08/04/95,15.64
08/07/95,15.8
08/08/95,15.95
08/09/95,15.95
08/10/95,15.64
08/11/95,15.49
08/14/95,15.64
08/15/95,15.49
08/16/95,15.49
08/17/95,15.33
08/18/95,15.33
08/21/95,15.49
08/22/95,15.33
08/23/95,15.33
08/24/95,15.33
08/25/95,15.49
08/28/95,15.33
08/29/95,15.02
08/30/95,15.02
08/31/95,15.02
09/01/95,15.02
09/04/95,15.17
09/05/95,15.17
09/06/95,15.17
09/07/95,15.17
09/08/95,15.02
09/11/95,15.02
09/12/95,15.02
09/13/95,15.02
09/14/95,14.86
09/15/95,15.33
09/18/95,15.64
09/19/95,16.58
09/20/95,16.42
09/21/95,17.05
09/22/95,16.89
09/25/95,16.74
09/26/95,16.11
09/27/95,15.8
09/28/95,15.95
09/29/95,15.64
10/02/95,15.8
10/03/95,15.8
10/04/95,15.8
10/05/95,15.8
10/06/95,15.64
10/09/95,15.33
10/10/95,15.17
10/11/95,15.17
10/12/95,15.49
10/13/95,15.49
10/16/95,15.49
10/17/95,15.49
10/18/95,15.17
10/19/95,15.17
10/20/95,15.17
10/23/95,15.17
10/24/95,15.17
10/25/95,15.02
10/26/95,15.02
10/27/95,15.02
10/30/95,15.02
10/31/95,15.02
11/01/95,15.02
11/02/95,14.86
11/03/95,14.86
11/06/95,15.02
11/07/95,15.02
11/08/95,14.86
11/09/95,15.17
11/10/95,15.17
11/13/95,14.86
11/14/95,14.86
11/15/95,14.39
11/16/95,14.08
11/17/95,14.7
11/20/95,14.08
11/21/95,14.08
11/22/95,14.55
11/23/95,14.08
11/24/95,13.92
11/27/95,14.08
11/28/95,13.92
11/29/95,14.08
11/30/95,14.08
12/01/95,14.08
12/04/95,14.23
12/05/95,14.08
12/06/95,14.08
12/07/95,13.92
12/08/95,14.23
12/11/95,14.08
12/12/95,14.08
12/13/95,14.39
12/14/95,14.7
12/15/95,15.02
12/18/95,15.02
12/19/95,15.02
12/20/95,15.17
12/21/95,15.02
12/22/95,14.7
12/25/95,14.7
12/26/95,14.55
12/27/95,14.39
12/28/95,14.55
12/29/95,14.86
01/01/96,14.86
01/02/96,14.39
01/03/96,14.55
01/04/96,14.7
01/05/96,15.02
