Date,Price
01/02/85,1.29
01/03/85,1.29
01/04/85,1.27
01/07/85,1.29
01/08/85,1.29
01/09/85,1.29
01/10/85,1.29
01/11/85,1.29
01/14/85,1.29
01/15/85,1.29
01/16/85,1.29
01/17/85,1.29
01/18/85,1.29
01/21/85,1.29
01/22/85,1.29
01/23/85,1.29
01/24/85,1.29
01/25/85,1.29
01/28/85,1.29
01/29/85,1.29
01/30/85,1.29
01/31/85,1.29
02/01/85,1.29
02/04/85,1.29
02/05/85,1.29
02/06/85,1.29
02/07/85,1.29
02/08/85,1.31
02/11/85,1.31
02/12/85,1.31
02/13/85,1.31
02/14/85,1.31
02/15/85,1.31
02/18/85,1.31
02/19/85,1.31
02/20/85,1.31
02/21/85,1.31
02/22/85,1.31
02/25/85,1.31
02/26/85,1.31
02/27/85,1.31
02/28/85,1.31
03/01/85,1.31
03/04/85,1.31
03/05/85,1.31
03/06/85,1.31
03/07/85,1.31
03/08/85,1.31
03/11/85,1.31
03/12/85,1.31
03/13/85,1.31
03/14/85,1.31
03/15/85,1.31
03/18/85,1.31
03/19/85,1.31
03/20/85,1.31
03/21/85,1.31
03/22/85,1.31
03/25/85,1.31
03/26/85,1.32
03/27/85,1.32
03/28/85,1.32
03/29/85,1.32
04/01/85,1.32
04/02/85,1.32
04/03/85,1.32
04/04/85,1.32
04/05/85,1.32
04/08/85,1.32
04/09/85,1.32
04/10/85,1.32
04/11/85,1.32
04/12/85,1.32
04/15/85,1.32
04/16/85,1.32
04/17/85,1.32
04/18/85,1.32
04/19/85,1.32
04/22/85,1.32
04/23/85,1.32
04/24/85,1.32
04/25/85,1.32
04/26/85,1.32
04/29/85,1.32
04/30/85,1.32
05/01/85,1.32
05/02/85,1.32
05/03/85,1.32
05/06/85,1.32
05/07/85,1.32
05/08/85,1.32
05/09/85,1.32
05/10/85,1.32
05/13/85,1.32
05/14/85,1.32
05/15/85,1.32
05/16/85,1.32
05/17/85,1.32
05/20/85,1.32
05/21/85,1.32
05/22/85,1.32
05/23/85,1.32
05/24/85,1.32
05/27/85,1.32
05/28/85,1.31
05/29/85,1.35
05/30/85,1.35
05/31/85,1.35
06/03/85,1.35
06/04/85,1.35
06/05/85,1.35
06/06/85,1.35
06/07/85,1.35
06/10/85,1.35
06/11/85,1.35
06/12/85,1.35
06/13/85,1.35
06/14/85,1.35
06/17/85,1.35
06/18/85,1.35
06/19/85,1.35
06/20/85,1.35
06/21/85,1.35
06/24/85,1.35
06/25/85,1.35
06/26/85,1.35
06/27/85,1.35
06/28/85,1.35
07/01/85,1.35
07/02/85,1.35
07/03/85,1.35
07/04/85,1.35
07/05/85,1.35
07/08/85,1.35
07/09/85,1.35
07/10/85,1.35
07/11/85,1.35
07/12/85,1.35
07/15/85,1.35
07/16/85,1.35
07/17/85,1.35
07/18/85,1.35
07/19/85,1.35
07/22/85,1.35
07/23/85,1.35
07/24/85,1.35
07/25/85,1.35
07/26/85,1.35
07/29/85,1.35
07/30/85,1.35
07/31/85,1.35
08/01/85,1.35
08/02/85,1.35
08/05/85,1.35
08/06/85,1.35
08/07/85,1.35
08/08/85,1.35
08/09/85,1.35
08/12/85,1.35
08/13/85,1.35
08/14/85,1.35
08/15/85,1.35
08/16/85,1.35
08/19/85,1.35
08/20/85,1.35
08/21/85,1.35
08/22/85,1.35
08/23/85,1.35
08/26/85,1.35
08/27/85,1.35
08/28/85,1.35
08/29/85,1.35
08/30/85,1.35
09/02/85,1.35
09/03/85,1.35
09/04/85,1.35
09/05/85,1.35
09/06/85,1.35
09/09/85,1.35
09/10/85,1.35
09/11/85,1.35
09/12/85,1.35
09/13/85,1.35
09/16/85,1.35
09/17/85,1.35
09/18/85,1.35
09/19/85,1.35
09/20/85,1.35
09/23/85,1.35
09/24/85,1.35
09/25/85,1.35
09/26/85,1.35
09/27/85,1.35
09/30/85,1.35
10/01/85,1.35
10/02/85,1.35
10/03/85,1.35
10/04/85,1.35
10/07/85,1.35
10/08/85,1.35
10/09/85,1.35
10/10/85,1.35
10/11/85,1.35
10/14/85,1.35
10/15/85,1.35
10/16/85,1.35
10/17/85,1.35
10/18/85,1.35
10/21/85,1.35
10/22/85,1.35
10/23/85,1.35
10/24/85,1.35
10/25/85,1.35
10/28/85,1.35
10/29/85,1.35
10/30/85,1.35
10/31/85,1.35
11/01/85,1.35
11/04/85,1.35
11/05/85,1.35
11/06/85,1.35
11/07/85,1.35
11/08/85,1.35
11/11/85,1.35
11/12/85,1.35
11/13/85,1.35
11/14/85,1.35
11/15/85,1.35
11/18/85,1.35
11/19/85,1.35
11/20/85,1.35
11/21/85,1.35
11/22/85,1.35
11/25/85,1.35
11/26/85,1.35
11/27/85,1.35
11/28/85,1.35
11/29/85,1.35
12/02/85,1.35
12/03/85,1.35
12/04/85,1.35
12/05/85,1.35
12/06/85,1.35
12/09/85,1.35
12/10/85,1.35
12/11/85,1.35
12/12/85,1.35
12/13/85,1.35
12/16/85,1.35
12/17/85,1.35
12/18/85,1.35
12/19/85,1.35
12/20/85,1.35
12/23/85,1.35
12/24/85,1.35
12/25/85,1.35
12/26/85,1.35
12/27/85,1.35
12/30/85,1.35
12/31/85,1.35
01/01/86,1.35
01/02/86,1.35
01/03/86,1.35
01/06/86,1.35
01/07/86,1.35
01/08/86,1.35
01/09/86,1.35
01/10/86,1.78
01/13/86,1.75
01/14/86,1.78
01/15/86,1.78
01/16/86,1.78
01/17/86,1.78
01/20/86,1.82
01/21/86,1.82
01/22/86,1.82
01/23/86,1.82
01/24/86,1.82
01/27/86,1.82
01/28/86,1.85
01/29/86,1.85
01/30/86,1.85
01/31/86,1.85
02/03/86,1.82
02/04/86,1.82
02/05/86,1.82
02/06/86,1.82
02/07/86,1.82
02/10/86,1.82
02/11/86,1.82
02/12/86,1.82
02/13/86,1.82
02/14/86,1.82
02/17/86,1.82
02/18/86,1.85
02/19/86,1.58
02/20/86,1.58
02/21/86,1.58
02/24/86,1.58
02/25/86,1.58
02/26/86,1.58
02/27/86,1.58
02/28/86,2.28
03/03/86,2.87
03/04/86,2.87
03/05/86,2.87
03/06/86,2.61
03/07/86,2.54
03/10/86,2.54
03/11/86,2.54
03/12/86,2.54
03/13/86,2.57
03/14/86,2.57
03/17/86,2.57
03/18/86,2.57
03/19/86,2.57
03/20/86,2.57
03/21/86,2.81
03/24/86,2.81
03/25/86,2.81
03/26/86,2.81
03/27/86,2.81
03/28/86,2.81
03/31/86,2.81
04/01/86,2.81
04/02/86,3.07
04/03/86,3.07
04/04/86,3.7
04/07/86,3.7
04/08/86,3.56
04/09/86,3.5
04/10/86,3.56
04/11/86,3.56
04/14/86,3.56
04/15/86,3.76
04/16/86,3.7
04/17/86,3.63
04/18/86,3.7
04/21/86,3.63
04/22/86,3.56
04/23/86,3.7
04/24/86,3.76
04/25/86,3.76
04/28/86,3.76
04/29/86,3.76
04/30/86,3.76
05/01/86,3.7
05/02/86,3.7
05/05/86,3.56
05/06/86,3.56
05/07/86,3.5
05/08/86,3.63
05/09/86,3.63
05/12/86,3.76
05/13/86,3.76
05/14/86,3.76
05/15/86,3.76
05/16/86,3.76
05/19/86,3.9
05/20/86,3.9
05/21/86,3.9
05/22/86,3.9
05/23/86,4.23
05/26/86,4.29
05/27/86,4.16
05/28/86,4.23
05/29/86,4.42
05/30/86,4.49
06/02/86,4.29
06/03/86,4.36
06/04/86,4.62
06/05/86,4.56
06/06/86,4.75
06/09/86,4.75
06/10/86,4.89
06/11/86,5.08
06/12/86,5.08
06/13/86,5.08
06/16/86,5.08
06/17/86,4.89
06/18/86,4.69
06/19/86,4.69
06/20/86,5.02
06/23/86,4.89
06/24/86,4.49
06/25/86,4.42
06/26/86,4.42
06/27/86,4.62
06/30/86,4.62
07/01/86,4.62
07/02/86,5.55
07/03/86,5.68
07/04/86,5.68
07/07/86,5.68
07/08/86,5.74
07/09/86,5.81
07/10/86,5.81
07/11/86,5.81
07/14/86,5.81
07/15/86,5.81
07/16/86,6.6
07/17/86,6.4
07/18/86,6.4
07/21/86,6.4
07/22/86,6.54
07/23/86,7.06
07/24/86,6.87
07/25/86,6.54
07/28/86,6.27
07/29/86,6.27
07/30/86,6.27
07/31/86,6.27
08/01/86,6.47
08/04/86,6.47
08/05/86,6.47
08/06/86,6.47
08/07/86,6.47
08/08/86,6.47
08/11/86,6.47
08/12/86,6.47
08/13/86,6.47
08/14/86,6.47
08/15/86,6.47
08/18/86,6.47
08/19/86,6.47
08/20/86,6.47
08/21/86,6.47
08/22/86,5.81
08/25/86,5.81
08/26/86,6.14
08/27/86,6.14
08/28/86,6.14
08/29/86,6.14
09/01/86,6.14
09/02/86,6.14
09/03/86,6.14
09/04/86,6.14
09/05/86,6.4
09/08/86,6.4
09/09/86,6.54
09/10/86,6.54
09/11/86,6.54
09/12/86,6.54
09/15/86,6.54
09/16/86,6.54
09/17/86,6.54
09/18/86,6.4
09/19/86,6.93
09/22/86,6.93
09/23/86,6.93
09/24/86,6.93
09/25/86,6.93
09/26/86,6.93
09/29/86,6.93
09/30/86,6.93
10/01/86,7.2
10/02/86,7.2
10/03/86,7.33
10/06/86,7.33
10/07/86,7.33
10/08/86,7.86
10/09/86,7.92
