Date,Price
05/20/94,12.79
05/23/94,13.25
05/24/94,13.25
05/25/94,13.25
05/26/94,13.25
05/27/94,13.56
05/30/94,14.02
05/31/94,14.79
06/01/94,14.64
06/02/94,14.79
06/03/94,14.64
06/06/94,14.79
06/07/94,14.64
06/08/94,14.64
06/09/94,14.64
06/10/94,14.48
06/13/94,14.33
06/14/94,14.33
06/15/94,14.64
06/16/94,14.79
06/17/94,14.33
06/20/94,14.02
06/21/94,13.4
06/22/94,13.71
06/23/94,13.56
06/24/94,13.71
06/27/94,13.56
06/28/94,13.4
06/29/94,13.25
06/30/94,13.56
07/01/94,13.56
07/04/94,13.56
07/05/94,13.56
07/06/94,13.56
07/07/94,13.56
07/08/94,13.56
07/11/94,13.56
07/12/94,13.87
07/13/94,13.87
07/14/94,13.87
07/15/94,13.87
07/18/94,13.87
07/19/94,13.87
07/20/94,13.87
07/21/94,14.02
07/22/94,14.02
07/25/94,14.02
07/26/94,14.02
07/27/94,14.02
07/28/94,14.02
07/29/94,14.02
08/01/94,14.02
08/02/94,14.02
08/03/94,14.94
08/04/94,14.94
08/05/94,14.94
08/08/94,14.94
08/09/94,14.94
08/10/94,14.94
08/11/94,14.94
08/12/94,16.02
08/15/94,16.02
08/16/94,16.02
08/17/94,16.33
08/18/94,16.02
08/19/94,15.71
08/22/94,15.71
08/23/94,16.02
08/24/94,16.02
08/25/94,16.02
08/26/94,16.02
08/29/94,16.02
08/30/94,15.71
08/31/94,16.02
09/01/94,16.02
09/02/94,16.02
09/05/94,16.33
09/06/94,16.02
09/07/94,15.71
09/08/94,15.71
09/09/94,15.71
09/12/94,15.71
09/13/94,15.41
09/14/94,15.71
09/15/94,15.71
09/16/94,15.71
09/19/94,15.71
09/20/94,15.41
09/21/94,15.1
09/22/94,15.25
09/23/94,15.41
09/26/94,15.25
09/27/94,15.25
09/28/94,15.1
09/29/94,14.79
09/30/94,14.79
10/03/94,14.48
10/04/94,14.48
10/05/94,14.33
10/06/94,14.17
10/07/94,13.71
10/10/94,13.4
10/11/94,13.4
10/12/94,13.4
10/13/94,13.56
10/14/94,13.4
10/17/94,13.4
10/18/94,13.4
10/19/94,13.4
10/20/94,13.4
10/21/94,13.56
10/24/94,13.4
10/25/94,13.56
10/26/94,14.17
10/27/94,14.02
10/28/94,13.4
10/31/94,13.4
11/01/94,13.4
11/02/94,13.4
11/03/94,13.56
11/04/94,14.48
11/07/94,14.64
11/08/94,14.33
